韻	韻合	等	水	攝	轉	尾
一東		一	東	通	内	ㄥ
三東		三	東	通	内	ㄥ
冬		一	冬	通	内	ㄥ
鍾		三	冬	通	内	ㄥ
江		二	江	江	外	ㄥ
支		三	支	止	内	ㄟ
脂		三	支	止	内	ㄟ
之		三	支	止	内	ㄟ
微		三	微	止	内	ㄟ
魚		三	魚	遇	内	ㄡ
虞		三	虞	遇	内	ㄡ
模		一	虞	遇	内	ㄡ
齊		四	齊	蟹	外	ㄟ
祭		三	齊	蟹	外	ㄟ
泰		一	齊	蟹	外	ㄟ
佳		二	佳	蟹	外	ㄟ
皆		二	佳	蟹	外	ㄟ
夬		二	佳	蟹	外	ㄟ
灰		一	灰	蟹	外	ㄟ
咍		一	灰	蟹	外	ㄟ
廢		三	灰	蟹	外	ㄟ
眞	諄	三	真	臻	外	ㄣ
臻		三	真	臻	外	ㄣ
文		三	文	臻	外	ㄣ
欣		三	文	臻	外	ㄣ
元		三	元	山	外	ㄣ
魂		一	元	臻	外	ㄣ
痕		一	元	臻	外	ㄣ
寒	桓	一	寒	山	外	ㄣ
刪		二	刪	山	外	ㄣ
山		二	刪	山	外	ㄣ
先		四	先	山	外	ㄣ
仙		三	先	山	外	ㄣ
蕭		四	蕭	效	外	ㄡ
宵		三	蕭	效	外	ㄡ
肴		二	肴	效	外	ㄡ
豪		一	豪	效	外	ㄡ
一歌	戈	一	歌	果	内	
三歌	戈	三	歌	果	内	
二麻		二	麻	假	外	
三麻		三	麻	假	外	
陽		三	陽	宕	内	ㄥ
唐		一	陽	宕	内	ㄥ
二庚		二	庚	梗	外	ㄥ
三庚		三	庚	梗	外	ㄥ
耕		二	庚	梗	外	ㄥ
清		三	庚	梗	外	ㄥ
青		四	青	梗	外	ㄥ
蒸		三	蒸	曾	内	ㄥ
登		一	蒸	曾	内	ㄥ
尤		三	尤	流	内	ㄡ
侯		一	尤	流	内	ㄡ
幽		三	尤	流	内	ㄡ
侵		三	侵	深	内	ㄇ
覃		一	覃	咸	外	ㄇ
談		一	覃	咸	外	ㄇ
鹽		三	鹽	咸	外	ㄇ
添		四	鹽	咸	外	ㄇ
咸		二	咸	咸	外	ㄇ
銜		二	咸	咸	外	ㄇ
嚴		三	鹽	咸	外	ㄇ
凡		三	咸	咸	外	ㄇ